Title,Artist,First Charted,Top position,Weeks on chart,Lyrics
The Touch Of You,Brenda & The Tabulations ,1970-02-07,50,8,
My Honey And Me,Luther Ingram ,1970-02-07,55,7,
Won't Find Better (Than Me),The New Hope ,1970-02-07,57,9,
I'm Just A Prisoner (Of Your Good Lovin'),Candi Staton ,1970-02-07,56,8,
Do The Funky Chicken,Rufus Thomas ,1970-02-07,28,12,
New World Coming,Mama Cass Elliot ,1970-02-07,42,7,
I've Gotta Make You Love Me,Steam ,1970-02-07,46,7,
Never Had A Dream Come True,Stevie Wonder ,1970-02-07,26,7,
Got To See If I Can't Get Mommy (To Come Back Home),Jerry Butler ,1970-02-07,62,5,
If Walls Could Talk,Little Milton ,1970-02-07,71,5,
How Can I Tell My Mom & Dad,The Lovelites ,1970-02-07,60,10,
House Of The Rising Sun,Frijid Pink ,1970-02-07,7,13,
Good Guys Only Win In The Movies,Mel And Tim ,1970-02-07,45,7,
"Easy Come, Easy Go",Bobby Sherman ,1970-02-07,9,14,
Save The Country,Thelma Houston ,1970-02-07,74,3,
Oh Well - Pt. I,Fleetwood Mac ,1970-02-07,55,10,
Mornin Mornin,Bobby Goldsboro ,1970-02-07,78,5,
Down In The Alley,Ronnie Hawkins ,1970-02-07,75,5,
"Barbara, I Love You",New Colony Six ,1970-02-07,78,5,
The Court Of The Crimson King - Part 1,King Crimson ,1970-02-07,80,3,
Shilo,Neil Diamond ,1970-02-07,24,14,
Why Should I Cry,The Gentrys ,1970-02-07,61,6,
Superstar,Murray Head With The Trinidad Singers ,1970-02-07,14,31,
If I Never Knew Your Name,Vic Dana ,1970-02-07,47,12,
My Elusive Dreams,Bobby Vinton ,1970-02-07,46,9,
The Ghetto-Part 1,Donny Hathaway ,1970-02-07,87,8,
It's Just A Matter Of Time,Sonny James ,1970-02-07,87,4,
Welfare Cadilac,Guy Drake ,1970-02-07,63,14,
Victoria,The Kinks ,1970-02-07,62,9,
Come And Get It,Badfinger ,1970-02-07,7,15,
Can't Help Falling In Love,Al Martino ,1970-02-07,51,8,
Then She's A Lover,Roy Clark ,1970-02-07,94,3,
She's Ready,Spiral Starecase Featuring: Pat Upton ,1970-02-07,72,6,
1984,Spirit ,1970-02-07,69,9,
Jesus Is Just Alright,The Byrds ,1970-02-07,97,1,
The Bells,The Originals ,1970-02-07,12,14,
Call Me/Son Of A Preacher Man,Aretha Franklin ,1970-02-07,13,12,
I'll See Him Through,Tammy Wynette ,1970-02-07,100,2,
A World Without Music,Archie Bell & The Drells ,1969-12-27,90,2,
Theme From Electric Surfboard,Brother Jack McDuff ,1969-12-27,95,2,
The Gangs Back Again,Kool & The Gang ,1969-12-27,85,5,
Guess Who,Ruby Winters ,1969-12-27,99,2,
Compared To What,Les McCann & Eddie Harris ,1970-01-31,85,4,
Country Preacher,Cannonball Adderley ,1970-01-31,86,3,
Shades Of Green,The Flaming Ember ,1970-01-31,88,5,
It's A New Day (Part 1) & (Part 2),James Brown ,1970-02-14,32,8,
Keep On Doin',The Isley Brothers ,1970-02-14,75,5,
Something's Burning,Kenny Rogers & The First Edition ,1970-02-14,11,16,
Walking Through The Country,The Grass Roots ,1970-02-14,44,8,
A Friend In The City,Andy Kim ,1970-02-14,90,2,
Ticket To Ride,Carpenters ,1970-02-14,54,12,
Heartbreaker,Grand Funk Railroad ,1970-02-14,72,6,
All I Have To Do Is Dream,Bobbie Gentry & Glen Campbell ,1970-02-14,27,10,
Kentucky Rain,Elvis Presley ,1970-02-14,16,9,
If You've Got A Heart,Bobby Bland ,1970-02-14,96,2,
Rag Mama Rag,The Band ,1970-02-14,57,8,
Take It Off Him And Put It On Me,Clarence Carter ,1970-02-14,94,4,
The Fightin' Side Of Me,Merle Haggard And The Strangers ,1970-02-14,92,3,
Tea For Two,Nino Tempo & April Stevens ,1964-05-02,56,5,
The Loneliest Night,Dale & Grace ,1964-05-02,65,5,
Soul Hootenanny (Pt. I),Gene Chandler ,1964-05-02,92,2,
Little Donna,The Rivieras ,1964-05-02,93,3,
Big Party,Barbara & The Browns ,1964-05-02,97,2,
The Little White Cloud That Cried,Wayne Newton ,1964-05-02,99,2,
Caldonia,James Brown And His Orchestra ,1964-05-02,95,2,
Gotta Hold On To This Feeling,Jr. Walker & The All Stars ,1970-02-21,21,10,
Love Grows (Where My Rosemary Goes),Edison Lighthouse ,1970-02-21,5,13,
Gotta Get Back To You,Tommy James And The Shondells ,1970-02-21,45,8,
A Change Is Gonna Come & People Gotta Be Free/The Declaration,The 5th Dimension ,1970-02-21,60,5,
Until It's Time For You To Go,Neil Diamond ,1970-02-21,53,6,
Take A Look Around,Smith ,1970-02-21,43,7,
The Cat Walk,The Village Soul Choir ,1970-02-21,55,10,
California Girl,Eddie Floyd ,1970-02-21,45,12,
Just Seventeen,The Raiders ,1970-02-21,82,3,
Baby Make It Soon,The Flying Machine ,1970-02-21,87,2,
Temma Harbour,Mary Hopkin ,1970-02-21,39,8,
Comin' Home,Delaney & Bonnie & Friends/Eric Clapton ,1970-02-21,84,3,
Celebrate,Three Dog Night ,1970-02-28,15,9,
Spirit In The Sky,Norman Greenbaum ,1970-02-28,3,15,
Instant Karma (We All Shine On),John Ono Lennon ,1970-02-28,3,13,
Stir It Up And Serve It,Tommy Roe ,1970-02-28,50,6,
To The Other Woman (I'm The Other Woman),Doris Duke ,1970-02-28,50,9,
You're The One-Part II,Little Sister ,1970-02-28,22,11,
Long Lonesome Highway,Michael Parks ,1970-02-28,20,12,
Rock Island Line,Johnny Cash ,1970-02-28,93,1,
"Silly, Silly, Fool",Dusty Springfield ,1970-02-28,76,5,
"Love, Peace And Happiness",Chambers Brothers ,1970-02-28,96,1,
Can't Help Falling In Love,Andy Williams ,1970-02-28,88,3,
Tennessee Bird Walk,Jack Blanchard & Misty Morgan ,1970-02-28,23,13,
Message From A Black Man,The Whatnauts & The Whatnaut Band ,1970-02-28,99,2,
Sparkle And Shine,The Clique ,1970-02-28,100,1,
Have I Stayed Away Too Long,Bobby Bare ,1964-05-16,94,1,
Long Tall Shorty,Tommy Tucker ,1964-05-16,96,2,
Tequila,Bill Black's Combo ,1964-05-16,91,3,
Big Boss Line,Jackie Wilson ,1964-05-23,94,1,
Tell Me Mamma,Christine Quaite ,1964-05-23,85,2,
Security,Otis Redding ,1964-05-23,97,1,
Let It Be,The Beatles ,1970-04-04,1,14,
ABC,Jackson 5 ,1970-04-04,1,13,
Up The Ladder To The Roof,The Supremes ,1970-04-04,10,11,
American Woman/No Sugar Tonight,The Guess Who ,1970-04-04,1,15,
Love Or Let Me Be Lonely,The Friends Of Distinction ,1970-04-04,6,13,
Reflections Of My Life,The Marmalade ,1970-04-04,10,15,
Turn Back The Hands Of Time,Tyrone Davis ,1970-04-04,3,13,
Woodstock,"Crosby, Stills, Nash & Young ",1970-04-04,11,11,
Get Ready,Rare Earth ,1970-04-04,4,20,
You Need Love Like I Do (Don't You),Gladys Knight And The Pips ,1970-04-04,25,8,
Who's Your Baby?,The Archies ,1970-04-04,40,7,
Let's Give Adam And Eve Another Chance,Gary Puckett And The Union Gap ,1970-04-04,41,7,
Everybody's Out Of Town,B.J. Thomas ,1970-04-04,26,9,
For The Love Of Him,Bobbi Martin ,1970-04-04,13,14,
Mighty Joe,The Shocking Blue ,1970-04-04,43,7,
Easy To Be Free,Rick Nelson ,1970-04-04,48,6,
"My Woman, My Woman, My Wife",Marty Robbins ,1970-04-04,42,8,
I Could Write A Book,Jerry Butler ,1970-04-04,46,5,
Funky Drummer (Part 1),James Brown ,1970-04-04,51,5,
Come Together,Ike & Tina Turner & The Ikettes ,1970-04-04,57,8,
Little Green Bag,George Baker Selection ,1970-04-04,21,13,
Children,Joe South ,1970-04-04,51,7,
Nothing Succeeds Like Success,Bill Deal & The Rhondels ,1970-04-04,62,7,
Add Some Music To Your Day,The Beach Boys ,1970-04-04,64,5,
Living Loving Maid (She's Just A Woman),Led Zeppelin ,1970-04-04,65,5,
The Funniest Thing,Dennis Yost And The Classics IV ,1970-04-04,59,5,
Capture The Moment,Jay & The Americans ,1970-04-04,57,6,
Dear Prudence,The 5 Stairsteps ,1970-04-04,66,6,
The Girls' Song,The 5th Dimension ,1970-04-04,43,8,
Deeper (In Love With You),The O'Jays ,1970-04-04,64,7,
Cryin' In The Streets (Part 1),George Perkins & The Silver Stars ,1970-04-04,61,6,
Is Anybody Goin' To San Antone,Charley Pride ,1970-04-04,70,7,
Everything Is Beautiful,Ray Stevens ,1970-04-04,1,15,
Vehicle,The Ides Of March ,1970-04-04,2,12,
Which Way You Goin' Billy?,The Poppy Family (Featuring Susan Jacks) ,1970-04-04,2,17,
Run Sally Run,The Cuff Links ,1970-04-04,76,6,
Come Running,Van Morrison ,1970-04-04,39,8,
But For Love,Jerry Naylor ,1970-04-04,69,4,
"I Got A Thing, You Got A Thing, Everybody's Got A Thing",Funkadelic ,1970-04-04,80,6,
Brown Paper Bag,Syndicate Of Sound ,1970-04-04,73,5,
Chicken Strut,The Meters ,1970-04-04,50,8,
Hitchin' A Ride,Vanity Fare ,1970-04-04,5,22,
Can You Feel It,Bobby Goldsboro ,1970-04-04,75,6,
"July 12, 1939",Charlie Rich ,1970-04-04,85,4,
Love Minus Zero-No Limit,Turley Richards ,1970-04-04,84,3,
Miss America,Mark Lindsay ,1970-04-04,44,8,
Buffalo Soldier,Flamingos ,1970-04-04,86,2,
Make Me Smile,Chicago ,1970-04-04,9,14,
Don't Stop Now/Since I Don't Have You,Eddie Holman ,1970-04-04,48,8,
If Only I Had My Mind On Something Else,Bee Gees ,1970-04-04,91,3,
Mississippi Queen,Mountain ,1970-04-04,21,17,
Hang On Sloopy,The Lettermen ,1970-04-04,93,2,
"My Wife, The Dancer",Eddie & Dutch ,1970-04-04,52,7,
"Cole, Cooke & Redding",Wilson Pickett ,1970-04-04,91,4,
Time To Get It Together,Country Coalition ,1970-04-04,96,3,
I Would Be In Love (Anyway),Frank Sinatra ,1970-04-04,88,3,
Lucifer,Bob Seger System ,1970-04-04,84,6,
Lay Lady Lay,Ferrante & Teicher ,1970-04-04,99,1,
My Soul's Got A Hole In It,Howard Tate ,1970-04-04,100,1,
Across The Street,Lenny O'Henry ,1964-05-30,98,1,
Let's Have A Party,The Rivieras ,1964-05-30,99,1,
Love On A Two-Way Street,The Moments ,1970-04-11,3,15,
Love Land,Charles Wright And The Watts 103rd Street Rhythm Band ,1970-04-11,16,17,
What Is Truth,Johnny Cash ,1970-04-11,19,8,
Cecilia,Simon & Garfunkel ,1970-04-11,4,13,
So Excited,B.B. King ,1970-04-11,54,6,
Hey Lawdy Mama,Steppenwolf ,1970-04-11,35,8,
He Made A Woman Out Of Me,Bobbie Gentry ,1970-04-11,71,5,
Viva Tirado - Part I,El Chicano ,1970-04-11,28,9,
Airport Love Theme (Gwen And Vern),Vincent Bell ,1970-04-11,31,8,
Oh Happy Day,Glen Campbell ,1970-04-11,40,8,
You Make Me Real/Roadhouse Blues,The Doors ,1970-04-11,50,6,
I Can't Leave Your Love Alone,Clarence Carter ,1970-04-11,42,14,
Angelica,Oliver ,1970-04-11,97,3,
The Letter,Joe Cocker with Leon Russell & The Shelter People ,1970-04-18,7,12,
I Who Have Nothing,Liquid Smoke ,1970-04-18,82,3,
Puppet Man,The 5th Dimension ,1970-04-18,24,8,
Let Me Go To Him,Dionne Warwick ,1970-04-18,32,7,
Farther On Down The Road,Joe Simon ,1970-04-18,56,8,
The Seeker,The Who ,1970-04-18,44,7,
My Baby Loves Lovin',White Plains ,1970-04-18,13,15,
United We Stand,The Brotherhood Of Man ,1970-04-18,13,15,
A Little Bit Of Soap,Paul Davis ,1970-04-18,52,12,
Open Up My Heart/Nadine,The Dells ,1970-04-18,51,8,
The Onion Song/California Soul,Marvin Gaye & Tammi Terrell ,1970-04-18,50,7,
My Way,Brook Benton ,1970-04-18,72,6,
Cinnamon Girl,The Gentrys ,1970-04-18,52,12,
Don't Let The Music Slip Away,Archie Bell & The Drells ,1970-04-18,100,1,
Up Around The Bend/Run Through The Jungle,Creedence Clearwater Revival ,1970-04-25,4,11,
Reach Out And Touch (Somebody's Hand),Diana Ross ,1970-04-25,20,9,
Hum A Song (From Your Heart),Lulu with The Dixie Flyers ,1970-04-25,54,6,
Lay Down (Candles In The Rain),Melanie with The Edwin Hawkins Singers ,1970-04-25,6,17,
Fire & Rain,R.B. Greaves ,1970-04-25,82,3,
Band Of Gold,Freda Payne ,1970-04-25,3,20,
I Got A Problem,Jesse Anderson ,1970-04-25,95,2,
Thank You Girl,Street People ,1970-04-25,96,2,
More Than I Can Stand,Bobby Womack ,1970-04-25,90,4,
It's All In The Game,Four Tops ,1970-04-25,24,13,
Get Down People,Fabulous Counts ,1970-04-25,88,4,
I Want To Hold Your Hand,Boston Pops Orchestra Arthur Fiedler ,1964-07-04,55,6,
You're My World,Cilla Black ,1964-07-04,26,7,
Anyone Who Knows What Love Is (will understand),Irma Thomas ,1964-07-04,52,6,
Don't Take Your Love From Me,Gloria Lynne ,1964-07-04,76,3,
You're My Remedy,The Marvelettes ,1964-07-04,48,7,
Viva Las Vegas,Elvis Presley ,1964-07-04,92,1,
All My Loving,The Hollyridge Strings ,1964-07-04,93,1,
If You See My Love,Lenny Welch ,1964-07-04,92,2,
The Things That I Used To Do,James Brown And His Orchestra ,1964-07-04,99,1,
My Heart Skips A Beat,Buck Owens ,1964-07-04,94,2,
Sugar Lips,Al (He's the King) Hirt ,1964-07-11,30,7,
Al-Di-La,The Ray Charles Singers ,1964-07-11,29,6,
She's The One,The Chartbusters ,1964-07-11,33,8,
Angelito,Rene & Rene ,1964-07-11,43,8,
I'm The One,Gerry And The Pacemakers ,1964-07-11,82,2,
Like Columbus Did,The Reflections ,1964-07-11,96,1,
Love Is All We Need,Vic Dana ,1964-07-11,53,7,
Jamaica Ska,The Ska Kings ,1964-07-11,98,1,
It's A Sin To Tell A Lie,Tony Bennett ,1964-07-11,99,1,
The Long And Winding Road/For You Blue,The Beatles ,1970-06-06,1,10,
Daughter Of Darkness,Tom Jones ,1970-06-06,13,9,
The Love You Save/I Found That Girl,Jackson 5 ,1970-06-06,1,13,
Ride Captain Ride,Blues Image ,1970-06-06,4,15,
Ball Of Confusion (That's What The World Is Today),The Temptations ,1970-06-06,3,15,
Question,The Moody Blues ,1970-06-06,21,12,
The Wonder Of You/Mama Liked The Roses,Elvis Presley ,1970-06-06,9,12,
Mama Told Me (Not To Come),Three Dog Night ,1970-06-06,1,15,
SoolaimÃ³n (African Trilogy II),Neil Diamond ,1970-06-06,30,7,
"Sugar Sugar/Cole, Cooke & Redding",Wilson Pickett ,1970-06-06,25,12,
Gimme Dat Ding,The Pipkins ,1970-06-06,9,12,
"Hey, Mister Sun",Bobby Sherman ,1970-06-06,24,9,
(You've Got Me) Dangling On A String,Chairmen Of The Board ,1970-06-06,38,9,
Check Out Your Mind,The Impressions ,1970-06-06,28,12,
Brother Rapp (Part 1),James Brown ,1970-06-06,32,8,
Spirit In The Dark,Aretha Franklin with The Dixie Flyers ,1970-06-06,23,8,
Baby Hold On,The Grass Roots ,1970-06-06,35,10,
Mississippi,John Phillips ,1970-06-06,32,12,
Who's Gonna Take The Blame,Smokey Robinson & The Miracles ,1970-06-06,46,7,
Come To Me,Tommy James And The Shondells ,1970-06-06,47,8,
Are You Ready?,Pacific Gas And Electric ,1970-06-06,14,12,
Into The Mystic,Johnny Rivers ,1970-06-06,51,8,
O-o-h Child/Dear Prudence,The 5 Stairsteps ,1970-06-06,8,16,
Westbound #9,The Flaming Ember ,1970-06-06,24,14,
"Whoever Finds This, I Love You",Mac Davis ,1970-06-06,53,8,
Sweet Feeling,Candi Staton ,1970-06-06,60,8,
Go Back,Crabby Appleton ,1970-06-06,36,14,
I Want To Take You Higher,Ike & Tina Turner & The Ikettes ,1970-06-06,34,18,
So Much Love,"Faith, Hope And Charity ",1970-06-06,51,11,
And My Heart Sang (Tra La La),Brenda & The Tabulations ,1970-06-06,64,8,
Don't It Make You Want To Go Home,Brook Benton With The Dixie Flyers ,1970-06-06,45,7,
Ain't That Loving You (For More Reasons Than One),Luther Ingram ,1970-06-06,45,9,
Freedom Blues,Little Richard ,1970-06-06,47,9,
Cottage Cheese,CROW ,1970-06-06,56,14,
She Didn't Know (She Kept On Talking),Dee Dee Warwick ,1970-06-06,70,8,
"You, Me And Mexico",Edward Bear ,1970-06-06,68,4,
"Tighter, Tighter",Alive & Kicking ,1970-06-06,7,14,
That Same Old Feeling,The Fortunes ,1970-06-06,62,8,
Free The People,Delaney & Bonnie & Friends ,1970-06-06,75,4,
What Am I Gonna Do,Smith ,1970-06-06,73,4,
(How Bout A Little Hand For) The Boys In The Band,The Boys In The Band ,1970-06-06,48,10,
Lay A Little Lovin' On Me,Robin McNamara ,1970-06-06,11,15,
Red Red Wine,Vic Dana ,1970-06-06,72,6,
Friends,Feather ,1970-06-06,79,5,
That Same Old Feeling,Pickettywitch ,1970-06-06,67,12,
Them Changes,Buddy Miles & The Freedom Express ,1970-06-06,62,17,
Trying To Make A Fool Of Me,The Delfonics ,1970-06-06,40,9,
Spill The Wine,Eric Burdon And War ,1970-06-06,3,21,
Teach Your Children,"Crosby, Stills, Nash & Young ",1970-06-06,16,11,
Primrose Lane,O.C. Smith ,1970-06-06,86,3,
Long And Lonesome Road,The Shocking Blue ,1970-06-06,75,5,
Steal Away,Johnnie Taylor ,1970-06-06,37,10,
"The Sly, Slick, And The Wicked",The Lost Generation ,1970-06-06,30,14,
Melanie Makes Me Smile,Tony Burrows ,1970-06-06,87,4,
Some Beautiful,Jack Wild ,1970-06-06,92,4,
Maybe,The Three Degrees ,1970-06-06,29,12,
Heighdy-Ho Princess,Neon Philharmonic ,1970-06-06,94,2,
Feelings,Barry Mann ,1970-06-06,93,3,
Gimme Shelter,Merry Clayton ,1970-06-06,73,7,
I Think I Love You Again,Brenda Lee ,1970-06-06,97,2,
I Can't Tell The Bottom From The Top,The Hollies ,1970-06-06,82,4,
Oh My My,The Monkees ,1970-06-06,98,2,
She Cried,The Lettermen ,1970-06-06,73,7,
Sole Sole Sole,Siw Malmkvist-Umberto Marcato ,1964-07-18,58,5,
Thank You Baby,The Shirelles ,1964-07-18,63,7,
Looking For Love,Connie Francis ,1964-07-18,45,7,
No One To Cry To,Ray Charles ,1964-07-18,55,6,
Bama Lama Bama Loo,Little Richard ,1964-07-18,82,4,
A House Is Not A Home,Brook Benton ,1964-07-18,75,7,
Baby Come Home,Ruby And The Romantics ,1964-07-18,75,4,
A Shot In The Dark,Henry Mancini And His Orchestra ,1964-07-18,97,2,
She's My Girl,Bobby Shafto ,1964-07-18,99,1,
A Song Of Joy (Himno A La Alegria),Miguel Rios ,1970-06-13,14,9,
Song From M*A*S*H,Al DeLory ,1970-06-13,70,12,
Canned Ham,Norman Greenbaum ,1970-06-13,46,6,
The End Of Our Road,Marvin Gaye ,1970-06-13,40,7,
Save The Country,The 5th Dimension ,1970-06-13,27,8,
Silver Bird,Mark Lindsay ,1970-06-13,25,10,
Make It With You,Bread ,1970-06-13,1,17,
Good Morning Freedom,Daybreak ,1970-06-13,94,3,
"Move Me, O Wondrous Music",The Ray Charles Singers ,1970-06-13,99,1,
He Loves Me All The Way,Tammy Wynette ,1970-06-13,97,2,
I Should Have Known Better,The Beatles ,1964-07-25,53,4,
"Hello Mudduh, Hello Fadduh! (A Letter From Camp) (New 1964 Version)",Allan Sherman ,1964-07-25,59,6,
Summer Means Fun,Bruce & Terry ,1964-07-25,72,5,
Sunny,Neil Sedaka ,1964-07-25,86,3,
(They Long To Be) Close To You,Carpenters ,1970-06-20,1,17,
I Just Can't Help Believing,B.J. Thomas ,1970-06-20,9,13,
(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson ,1970-06-20,8,14,
When We Get Married,The Intruders ,1970-06-20,45,8,
Pearl,Tommy Roe ,1970-06-20,50,9,
Dear Ann,George Baker Selection ,1970-06-20,93,2,
Cinnamon Girl,Neil Young & Crazy Horse ,1970-06-20,55,9,
If My Heart Could Speak,The Manhattans ,1970-06-20,98,1,
This Bitter Earth,The Satisfactions ,1970-06-20,96,3,
I Heard The Voice Of Jesus,Turley Richards ,1970-06-20,99,3,
A Tear Fell,Ray Charles ,1964-08-01,50,5,
Frankie And Johnny,The Greenwood County Singers ,1964-08-01,75,5,
Sailor Boy,The Chiffons ,1964-08-01,81,3,
I'm Happy Just To Dance With You,The Beatles ,1964-08-01,95,1,
All Grown Up,The Crystals ,1964-08-01,98,1,
Bachelor Boy,Cliff Richard And The Shadows ,1964-08-01,99,1,
You're No Good,The Swinging Blue Jeans ,1964-08-01,97,2,
"Signed, Sealed, Delivered I'm Yours",Stevie Wonder ,1970-06-27,3,14,
Ohio,"Crosby, Stills, Nash & Young ",1970-06-27,14,9,
Overture From Tommy (A Rock Opera),The Assembled Multitude ,1970-06-27,16,13,
One Day Of Your Life,Andy Williams ,1970-06-27,77,4,
My Marie,Engelbert Humperdinck ,1970-06-27,43,8,
The Witch,The Rattles ,1970-06-27,79,5,
Big Yellow Taxi,The Neighborhood ,1970-06-27,29,11,
Your Own Back Yard,Dion ,1970-06-27,75,3,
I'll Be Right Here,Tyrone Davis ,1970-06-27,53,9,
You've Been My Inspiration,The Main Ingredient ,1970-06-27,64,9,
Let's Make Each Other Happy,The Illusion ,1970-06-27,98,2,
Humphrey The Camel,Jack Blanchard & Misty Morgan ,1970-06-27,78,6,
Eve Of Destruction,The Turtles ,1970-06-27,100,2,
Father Sebastian,The Ramblers ,1964-08-08,86,4,
Silly Ol' Summertime,The New Christy Minstrels ,1964-08-08,92,2,
One Piece Topless Bathing Suit,The Rip Chords ,1964-08-08,96,1,
Soul Dressing,Booker T. & The MG's ,1964-08-15,95,2,
It's A Cotton Candy World,Jerry Wallace ,1964-08-15,99,1,
Squeeze Her-Tease Her (But Love Her),Jackie Wilson ,1964-08-29,89,2,
War,Edwin Starr ,1970-09-05,1,15,
Ain't No Mountain High Enough,Diana Ross ,1970-09-05,1,14,
In The Summertime,Mungo Jerry ,1970-09-05,3,13,
25 Or 6 To 4,Chicago ,1970-09-05,4,20,
Patches,Clarence Carter ,1970-09-05,4,14,
Lookin' Out My Back Door/Long As I Can See The Light,Creedence Clearwater Revival ,1970-09-05,2,13,
Don't Play That Song,Aretha Franklin with The Dixie Flyers ,1970-09-05,11,10,
"Julie, Do Ya Love Me",Bobby Sherman ,1970-09-05,5,15,
Hi-De-Ho,"Blood, Sweat & Tears ",1970-09-05,14,8,
Hand Me Down World,The Guess Who ,1970-09-05,17,11,
Candida,Dawn ,1970-09-05,3,18,
Snowbird,Anne Murray ,1970-09-05,8,16,
I (Who Have Nothing),Tom Jones ,1970-09-05,14,8,
Everybody's Got The Right To Love,The Supremes ,1970-09-05,21,11,
Groovy Situation,Gene Chandler ,1970-09-05,12,15,
Tell It All Brother,Kenny Rogers & The First Edition ,1970-09-05,17,11,
Rubber Duckie,Ernie (Jim Henson) ,1970-09-05,16,9,
(I Know) I'm Losing You,Rare Earth ,1970-09-05,7,14,
Cracklin' Rosie,Neil Diamond ,1970-09-05,1,15,
Get Up (I Feel Like Being Like A) Sex Machine (Part 1),James Brown ,1970-09-05,15,9,
I've Lost You/The Next Step Is Love,Elvis Presley ,1970-09-05,32,9,
It's A Shame,The Spinners ,1970-09-05,14,15,
Closer To Home (I'm Your Captain),Grand Funk Railroad ,1970-09-05,22,12,
Joanne,Michael Nesmith & The First National Band ,1970-09-05,21,12,
Peace Will Come (According To Plan),Melanie ,1970-09-05,32,7,
Neanderthal Man,Hotlegs ,1970-09-05,22,9,
Summertime Blues,The Who ,1970-09-05,27,9,
All Right Now,Free ,1970-09-05,4,16,
Do You See My Love (For You Growing),Jr. Walker & The All Stars ,1970-09-05,32,10,
Express Yourself,Charles Wright And The Watts 103rd Street Rhythm Band ,1970-09-05,12,15,
Only You Know And I Know,Dave Mason ,1970-09-05,42,10,
Everything's Tuesday,Chairman Of The Board ,1970-09-05,38,9,
That's Where I Went Wrong,The Poppy Family (Featuring Susan Jacks) ,1970-09-05,29,13,
Soul Shake,Delaney & Bonnie & Friends ,1970-09-05,43,8,
We're All Playing In The Same Band,Bert Sommer ,1970-09-05,48,8,
Long Long Time,Linda Ronstadt ,1970-09-05,25,12,
Green-Eyed Lady,Sugarloaf ,1970-09-05,3,17,
Rainbow,The Marmalade ,1970-09-05,51,8,
Still Water (Love),Four Tops ,1970-09-05,11,14,
Wigwam,Bob Dylan ,1970-09-05,41,7,
Yellow River,Christie ,1970-09-05,23,23,
On The Beach (In The Summertime),The 5th Dimension ,1970-09-05,54,6,
Ball And Chain,Tommy James ,1970-09-05,57,7,
Black Fox,Freddy Robinson ,1970-09-05,56,9,
Sunday Morning Coming Down,Johnny Cash ,1970-09-05,46,7,
